name,category,lat,lng,score
Les Sablons (Jardin d'acclimatation),subway,48.88129914,2.271915173,
La D?fense (Grande Arche),subway,48.89182671,2.23799204,
Porte de Vincennes,subway,48.84701648,2.410816879,
Porte Maillot,subway,48.87800614,2.282465637,
Gare de Lyon,subway,48.84555975,2.373449202,
Ch?telet,subway,48.85856963,2.347933243,
Tuileries,subway,48.86478012,2.329094951,
Esplanade de la D?fense,subway,48.88835802,2.24993721,
Philippe Auguste,subway,48.8583788,2.389734729,
Courcelles,subway,48.87927211,2.303298543,
Victor Hugo,subway,48.86986487,2.285226204,
Monceau,subway,48.88057685,2.309415943,
Couronnes,subway,48.86932913,2.380536363,
Jaur?s,subway,48.88276851,2.369945796,
Anvers,subway,48.88287165,2.344163569,
Avron,subway,48.85119378,2.398239137,
R?aumur-S?bastopol,subway,48.86628032,2.352484794,
Porte de Champerret,subway,48.88573912,2.291860617,
Arts-et-M?tiers,subway,48.86555182,2.356108152,
P?re-Lachaise,subway,48.86294562,2.386892401,
Saint-Lazare,subway,48.87568147,2.325591581,
Malesherbes,subway,48.88253643,2.31100924,
Pigalle,subway,48.88242249,2.337254679,
Ternes,subway,48.878228,2.298121429,
Mairie de Montrouge,subway,48.8184663,2.319643215,
Marcadet-Poissonniers,subway,48.89154389,2.349371112,
Montparnasse-Bienvenue,subway,48.84418947,2.324441229,
Denfert-Rochereau,subway,48.83427677,2.332203794,
Mouton-Duvernet,subway,48.83219156,2.330406989,
Les Halles,subway,48.86201193,2.346476449,
Simplon,subway,48.89477952,2.346645842,
Od?on,subway,48.852198,2.33878,
Porte de Clignancourt,subway,48.89797013,2.34398838,
Gare de l'Est (Verdun),subway,48.8766958,2.357992507,
Anatole-France,subway,48.89201859,2.285517441,
Gare du Nord,subway,48.87974302,2.354600807,
Raspail,subway,48.83915694,2.330474148,
Pereire,subway,48.88503102,2.297135108,
Vavin,subway,48.84205982,2.328867047,
Porte de Pantin,subway,48.88858394,2.392422872,
Richard-Lenoir,subway,48.86068595,2.372410929,
Br?guet-Sabin,subway,48.85676791,2.370773855,
Place d'Italie,subway,48.83128261,2.355455867,
Oberkampf,subway,48.86403017,2.369184769,
Chauss?e d'Antin (La Fayette),subway,48.87298578,2.333426221,
Porte de la Villette,subway,48.89752912,2.385644227,
Porte de Choisy,subway,48.81978564,2.364625272,
Porte d'Italie,subway,48.81898648,2.361208682,
Concorde,subway,48.86550718,2.320362853,
Porte d'Ivry,subway,48.82135732,2.369308234,
Crim?e,subway,48.89028873,2.376778646,
Place Monge (Jardin des Plantes),subway,48.84316465,2.352110359,
Trocad?ro,subway,48.86266687,2.287263058,
Corvisart,subway,48.8296027,2.34937026,
Pont Neuf,subway,48.85853406,2.342117235,
Jussieu,subway,48.84596839,2.354807389,
Passy,subway,48.85753434,2.285592702,
Daumesnil (F?lix Ebou?),subway,48.83937642,2.395788057,
Quai de la Gare,subway,48.83761464,2.373852112,
Chevaleret,subway,48.83457876,2.366933896,
Boissi?re,subway,48.86685611,2.29003807,
Glaci?re,subway,48.83086136,2.34455143,
Dugommier,subway,48.83887611,2.389347384,
Picpus,subway,48.84532307,2.40178631,
Bercy,subway,48.8401922,2.379477254,
Porte de Saint-Cloud,subway,48.83756529,2.255591271,
Pont de S?vres,subway,48.8296903,2.230528431,
Marcel Sembat,subway,48.83380855,2.243480611,
Saint-Ambroise,subway,48.86164738,2.373147137,
R?publique,subway,48.86741079,2.363587822,
La Motte-Picquet-Grenelle,subway,48.84882123,2.297952961,
Mairie des Lilas,subway,48.88005102,2.415660203,
Cardinal-Lemoine,subway,48.84670583,2.351335176,
S?vres-Babylone,subway,48.85093925,2.326114651,
H?tel de Ville,subway,48.85780533,2.351460773,
Pyr?n?es,subway,48.87382113,2.384886369,
S?gur,subway,48.84686466,2.307268844,
Malakoff-Plateau de Vanves,subway,48.82244265,2.297932102,
Nation,subway,48.84811119,2.398004009,
Bastille,subway,48.85297563,2.369218821,
Saint-Paul (Le Marais),subway,48.85513448,2.361334336,
Franklin-Roosevelt,subway,48.86901039,2.310253178,
Pont de Neuilly,subway,48.88550607,2.258527467,
Champs-Elys?es-Cl?menceau,subway,48.86774399,2.314122777,
Charles de Gaulle-Etoile,subway,48.87393105,2.295127248,
Argentine,subway,48.87567245,2.289444161,
Belleville,subway,48.87228728,2.376737674,
Blanche,subway,48.88377048,2.332485145,
Villiers,subway,48.88132425,2.316596758,
M?nilmontant,subway,48.86570575,2.384429372,
Porte de Bagnolet,subway,48.86433649,2.408825373,
Parmentier,subway,48.86525982,2.374757078,
Temple,subway,48.86676413,2.361571324,
Havre-Caumartin,subway,48.87346185,2.328480481,
